"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"164","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,8,"Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn",1,"STAR BAKER","James"
"165","John Whaite",22,"Law student","Wigan",3,8,"Asian Spice Crackers","Gingerbread Roman Coliseum",3,"IN","John"
"166","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,9,"Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré",3,"IN","Brendan"
"167","Danny Bryden",45,"Intensive care consultant","Sheffield",3,9,"Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré",4,"OUT","Danny"
"168","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,9,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1,"STAR BAKER","James"
"169","John Whaite",22,"Law student","Wigan",3,9,"Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion",2,"IN","John"
"170","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,10,"Potato and Pepper Pithivier","Family Reunion Chiffon Cake",2,"Runner-up","Brendan"
"171","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,10,"Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes",1,"Runner-up","James"
"172","John Whaite",22,"Law student","Wigan",3,10,"Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake",2,"WINNER","John"
"173","Ali Imdad",25,"Charity worker","Saltley, Birmingham",4,1,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",11,"IN","Ali"
"174","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,1,"Grapefruit Sandwich Cake","Chocolate Cherry Indulgence",8,"IN","Beca"
"175","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,1,"Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake",3,"IN","Christine"
"176","Deborah Manger",51,"Dentist","Peterborough",4,1,"Pineapple Cake","'Coffee Time'",9,"IN","Deborah"
"177","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,1,"Giant Jam Sandwich","Secret Squirrel Cake",7,"IN","Frances"
"178","Glenn Cosby",37,"English Teacher","Teignmouth, Devon",4,1,"Strawberries and Cream Cake","Almond and Espresso Chocolate Cake",4,"IN","Glenn"
"179","Howard Middleton",51,"Council Worker","Sheffield",4,1,"Passion Fruit and Coconut Cake","Black Forest Revisited",6,"IN","Howard"
"180","Kimberley Wilson",30,"Psychologist","London",4,1,"Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake",10,"IN","Kimberley"
"181","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,1,"Timperley Early Cake","Thyme 'Wildwood' Cake",2,"IN","Lucy"
"182","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,1,"Lemon and Poppy Seed Cake","Chocolate Monster",5,"IN","Mark"
"183","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,1,"Pecan and Apple Cake","Raspberry Chocolate Cake",1,"STAR BAKER","Robert"
"184","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,1,"Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake",12,"IN","Ruby"
"185","Toby Waterworth",30,"Web Programmer","Reading, Berkshire",4,1,"Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake",13,"OUT","Toby"
"186","Ali Imdad",25,"Charity worker","Saltley, Birmingham",4,2,"Italian Grissini","Sweet and Savoury Yin Yang Bread",9,"IN","Ali"
"187","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,2,"Fennel and Chilli Breadsticks","Five Strand Christmas Wreath",11,"IN","Beca"
"188","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,2,"Mediterranean Breadsticks with Oregano","Double Plaited Loaf",4,"IN","Christine"
"189","Deborah Manger",51,"Dentist","Peterborough",4,2,"Fennel & Chilli Breadsticks","Walnut Fleur Loaf",8,"IN","Deborah"
"190","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,2,"Giant Matchsticks","Sailor's Knot",2,"IN","Frances"
"191","Glenn Cosby",37,"English Teacher","Teignmouth, Devon",4,2,"Rosemary and Parmesan Grissini","Harvest Crown",7,"IN","Glenn"
"192","Howard Middleton",51,"Council Worker","Sheffield",4,2,"Moroccan Breadsticks","Picasso Sun Bread",10,"IN","Howard"
"193","Kimberley Wilson",30,"Psychologist","London",4,2,"Nigella Seed and Parmesan Breadsticks","Peace Bread",1,"IN","Kimberley"
